NUM_EP,NOM_EP,CHEMIN,DOUBLE,NB_VUES,DERNIERE_VUE,PATH
01,"Mr. Garrison's Fancy New Vagina",,False,0,,
02,"Die Hippie, Die",,False,0,,
03,"Wing",,False,0,,
04,"Best Friends Forever",,False,0,,
05,"The Losing Edge",,False,0,,
06,"The Death of Eric Cartman",,False,0,,
07,"Erection Day",,False,0,,
08,"Two Days Before the Day After Tomorrow",,False,0,,
09,"Marjorine",,False,0,,
10,"Follow That Egg!",,False,0,,
11,"Ginger Kids",,False,0,,
12,"Trapped in the Closet",,False,0,,
13,"Free Willzyx",,False,0,,
14,"Bloody Mary",,False,0,,
