NUM_EP,NOM_EP,CHEMIN
01,"Jared Has Aides"
02,"Asspen"
03,"Freak Strike"
04,"Fun with Veal"
05,"The New Terrance and Phillip Movie Trailer"
06,"Professor Chaos"
07,"Simpsons Already Did It"
08,"Red Hot Catholic Love"
09,"Free Hat"
10,"Bebe's Boobs Destroy Society"
11,"Child Abduction Is Not Funny"
12,"A Ladder to Heaven"
13,"The Return of the Fellowship of the Ring to the Two Towers"
14,"The Death Camp of Tolerance"
15,"The Biggest Douche in the Universe"
16,"My Future Self n' Me"
17,"Red Sleigh Down"
