NUM_EP,NOM_EP,CHEMIN,DOUBLE,NB_VUES,DERNIERE_VUE,PATH
01,"Reverse Cowgirl",,False,0,,
02,"Cash for Gold",,False,0,,
03,"Faith Hilling",,False,0,,
04,"Jewpacabra",,False,0,,
05,"Butterballs",,False,0,,
06,"I Should Have Never Gone Ziplining",,False,0,,
07,"Cartman Finds Love",,False,0,,
08,"Sarcastaball",,False,0,,
09,"Raising the Bar",,False,0,,
10,"Insecurity",,False,0,,
11,"Going Native",,False,0,,
12,"A Nightmare on Face Time",,False,0,,
13,"A Scause for Applause",,False,0,,
14,"Obama Wins!",,False,0,,
